Topic:home/light | QOS:1 | Message:b'off'
Topic:$SYS/broker/bytes/received | QOS:0 | Message:b'114'
Topic:$SYS/broker/bytes/sent | QOS:0 | Message:b'3494'
Topic:$SYS/broker/publish/bytes/received | QOS:0 | Message:b'2'
Topic:$SYS/broker/publish/bytes/sent | QOS:0 | Message:b'322'
Topic:room/light | QOS:0 | Message:b'off'
Topic:$SYS/broker/uptime | QOS:0 | Message:b'385 seconds'
Topic:$SYS/broker/load/messages/received/1min | QOS:0 | Message:b'4.38'
Topic:$SYS/broker/load/messages/sent/1min | QOS:0 | Message:b'94.84'
Topic:$SYS/broker/load/publish/received/1min | QOS:0 | Message:b'1.67'
Topic:$SYS/broker/load/publish/sent/1min | QOS:0 | Message:b'92.14'
Topic:$SYS/broker/load/bytes/received/1min | QOS:0 | Message:b'61.72'
Topic:$SYS/broker/load/bytes/sent/1min | QOS:0 | Message:b'3629.95'
Topic:$SYS/broker/load/sockets/1min | QOS:0 | Message:b'0.85'
Topic:$SYS/broker/load/connections/1min | QOS:0 | Message:b'0.64'
Topic:$SYS/broker/load/messages/received/5min | QOS:0 | Message:b'1.60'
Topic:$SYS/broker/load/messages/sent/5min | QOS:0 | Message:b'24.39'
Topic:$SYS/broker/load/publish/received/5min | QOS:0 | Message:b'0.39'
Topic:$SYS/broker/load/publish/sent/5min | QOS:0 | Message:b'23.17'
Topic:$SYS/broker/load/bytes/received/5min | QOS:0 | Message:b'19.22'
Topic:$SYS/broker/load/bytes/sent/5min | QOS:0 | Message:b'913.50'
Topic:$SYS/broker/load/sockets/5min | QOS:0 | Message:b'0.39'
Topic:$SYS/broker/load/messages/received/15min | QOS:0 | Message:b'0.65'
Topic:$SYS/broker/load/messages/sent/15min | QOS:0 | Message:b'8.56'
Topic:$SYS/broker/load/publish/received/15min | QOS:0 | Message:b'0.13'
Topic:$SYS/broker/load/publish/sent/15min | QOS:0 | Message:b'8.04'
Topic:$SYS/broker/load/bytes/received/15min | QOS:0 | Message:b'7.71'
Topic:$SYS/broker/load/bytes/sent/15min | QOS:0 | Message:b'317.07'
Topic:$SYS/broker/store/messages/bytes | QOS:0 | Message:b'201'
Topic:$SYS/broker/heap/current | QOS:0 | Message:b'28128'
Topic:$SYS/broker/heap/maximum | QOS:0 | Message:b'28604'
Topic:$SYS/broker/messages/received | QOS:0 | Message:b'11'
Topic:$SYS/broker/messages/sent | QOS:0 | Message:b'132'
Topic:$SYS/broker/publish/messages/received | QOS:0 | Message:b'2'
Topic:$SYS/broker/publish/messages/sent | QOS:0 | Message:b'123'
Topic:$SYS/broker/bytes/received | QOS:0 | Message:b'131'
Topic:$SYS/broker/bytes/sent | QOS:0 | Message:b'4855'
Topic:$SYS/broker/publish/bytes/received | QOS:0 | Message:b'5'
Topic:$SYS/broker/publish/bytes/sent | QOS:0 | Message:b'464'
Topic:$SYS/broker/uptime | QOS:0 | Message:b'396 seconds'
Topic:$SYS/broker/load/messages/received/1min | QOS:0 | Message:b'3.65'
Topic:$SYS/broker/load/messages/sent/1min | QOS:0 | Message:b'109.11'
Topic:$SYS/broker/load/publish/received/1min | QOS:0 | Message:b'1.39'
Topic:$SYS/broker/load/publish/sent/1min | QOS:0 | Message:b'106.85'
Topic:$SYS/broker/load/bytes/received/1min | QOS:0 | Message:b'51.38'
Topic:$SYS/broker/load/bytes/sent/1min | QOS:0 | Message:b'4251.72'
Topic:$SYS/broker/load/sockets/1min | QOS:0 | Message:b'0.71'
Topic:$SYS/broker/load/connections/1min | QOS:0 | Message:b'0.53'
Topic:$SYS/broker/load/messages/received/5min | QOS:0 | Message:b'1.55'
Topic:$SYS/broker/load/messages/sent/5min | QOS:0 | Message:b'29.99'
Topic:$SYS/broker/load/publish/received/5min | QOS:0 | Message:b'0.37'
Topic:$SYS/broker/load/publish/sent/5min | QOS:0 | Message:b'28.82'
Topic:$SYS/broker/load/bytes/received/5min | QOS:0 | Message:b'18.53'
Topic:$SYS/broker/load/bytes/sent/5min | QOS:0 | Message:b'1144.94'
Topic:$SYS/broker/load/sockets/5min | QOS:0 | Message:b'0.38'
Topic:$SYS/broker/load/messages/sent/15min | QOS:0 | Message:b'10.64'
Topic:$SYS/broker/load/publish/sent/15min | QOS:0 | Message:b'10.13'
Topic:$SYS/broker/load/bytes/received/15min | QOS:0 | Message:b'7.62'
Topic:$SYS/broker/load/bytes/sent/15min | QOS:0 | Message:b'402.41'
Topic:$SYS/broker/store/messages/bytes | QOS:0 | Message:b'208'
Topic:$SYS/broker/heap/current | QOS:0 | Message:b'28072'
Topic:$SYS/broker/messages/sent | QOS:0 | Message:b'165'
Topic:$SYS/broker/publish/messages/sent | QOS:0 | Message:b'156'
Topic:$SYS/broker/bytes/sent | QOS:0 | Message:b'6201'
Topic:$SYS/broker/publish/bytes/sent | QOS:0 | Message:b'605'
Topic:$SYS/broker/uptime | QOS:0 | Message:b'407 seconds'
Topic:$SYS/broker/load/messages/received/1min | QOS:0 | Message:b'3.04'
Topic:$SYS/broker/load/messages/sent/1min | QOS:0 | Message:b'114.59'
Topic:$SYS/broker/load/publish/received/1min | QOS:0 | Message:b'1.16'
Topic:$SYS/broker/load/publish/sent/1min | QOS:0 | Message:b'112.71'
Topic:$SYS/broker/load/bytes/received/1min | QOS:0 | Message:b'42.78'
Topic:$SYS/broker/load/bytes/sent/1min | QOS:0 | Message:b'4520.82'
Topic:$SYS/broker/load/sockets/1min | QOS:0 | Message:b'0.59'
Topic:$SYS/broker/load/connections/1min | QOS:0 | Message:b'0.44'
Topic:$SYS/broker/load/messages/received/5min | QOS:0 | Message:b'1.49'
Topic:$SYS/broker/load/messages/sent/5min | QOS:0 | Message:b'34.02'
Topic:$SYS/broker/load/publish/received/5min | QOS:0 | Message:b'0.36'
Topic:$SYS/broker/load/publish/sent/5min | QOS:0 | Message:b'32.89'
Topic:$SYS/broker/load/bytes/received/5min | QOS:0 | Message:b'17.86'
Topic:$SYS/broker/load/bytes/sent/5min | QOS:0 | Message:b'1314.63'
